"STATISTIC","Statistic Label","TLIST(D1)","Day","C04236V05009","Supply Type","UNIT","VALUE"
"NGSD01C01","Networked Gas Daily Supply","2018M01D01","2018 January 01","-","All networked gas supply","Gigawatt hours","129.217691"
"NGSD01C01","Networked Gas Daily Supply","2018M01D01","2018 January 01","10","Networked gas supply - indigenous production","Gigawatt hours","111.68219"
"NGSD01C01","Networked Gas Daily Supply","2018M01D01","2018 January 01","20","Networked gas supply - imports","Gigawatt hours","17.535501"
"NGSD01C01","Networked Gas Daily Supply","2018M01D02","2018 January 02","-","All networked gas supply","Gigawatt hours","132.580714"
"NGSD01C01","Networked Gas Daily Supply","2018M01D02","2018 January 02","10","Networked gas supply - indigenous production","Gigawatt hours","115.101624"
"NGSD01C01","Networked Gas Daily Supply","2018M01D02","2018 January 02","20","Networked gas supply - imports","Gigawatt hours","17.47909"
"NGSD01C01","Networked Gas Daily Supply","2018M01D03","2018 January 03","-","All networked gas supply","Gigawatt hours","152.513142"
"NGSD01C01","Networked Gas Daily Supply","2018M01D03","2018 January 03","10","Networked gas supply - indigenous production","Gigawatt hours","117.094442"
"NGSD01C01","Networked Gas Daily Supply","2018M01D03","2018 January 03","20","Networked gas supply - imports","Gigawatt hours","35.4187"
"NGSD01C01","Networked Gas Daily Supply","2018M01D04","2018 January 04","-","All networked gas supply","Gigawatt hours","179.661627"
"NGSD01C01","Networked Gas Daily Supply","2018M01D04","2018 January 04","10","Networked gas supply - indigenous production","Gigawatt hours","117.833074"
"NGSD01C01","Networked Gas Daily Supply","2018M01D04","2018 January 04","20","Networked gas supply - imports","Gigawatt hours","61.828553"
"NGSD01C01","Networked Gas Daily Supply","2018M01D05","2018 January 05","-","All networked gas supply","Gigawatt hours","186.491491"
"NGSD01C01","Networked Gas Daily Supply","2018M01D05","2018 January 05","10","Networked gas supply - indigenous production","Gigawatt hours","117.614527"
"NGSD01C01","Networked Gas Daily Supply","2018M01D05","2018 January 05","20","Networked gas supply - imports","Gigawatt hours","68.876964"
"NGSD01C01","Networked Gas Daily Supply","2018M01D06","2018 January 06","-","All networked gas supply","Gigawatt hours","170.899344"
"NGSD01C01","Networked Gas Daily Supply","2018M01D06","2018 January 06","10","Networked gas supply - indigenous production","Gigawatt hours","117.518097"
"NGSD01C01","Networked Gas Daily Supply","2018M01D06","2018 January 06","20","Networked gas supply - imports","Gigawatt hours","53.381247"
"NGSD01C01","Networked Gas Daily Supply","2018M01D07","2018 January 07","-","All networked gas supply","Gigawatt hours","177.435374"
"NGSD01C01","Networked Gas Daily Supply","2018M01D07","2018 January 07","10","Networked gas supply - indigenous production","Gigawatt hours","74.37036"
"NGSD01C01","Networked Gas Daily Supply","2018M01D07","2018 January 07","20","Networked gas supply - imports","Gigawatt hours","103.065014"
"NGSD01C01","Networked Gas Daily Supply","2018M01D08","2018 January 08","-","All networked gas supply","Gigawatt hours","180.109123"
"NGSD01C01","Networked Gas Daily Supply","2018M01D08","2018 January 08","10","Networked gas supply - indigenous production","Gigawatt hours","117.457529"
"NGSD01C01","Networked Gas Daily Supply","2018M01D08","2018 January 08","20","Networked gas supply - imports","Gigawatt hours","62.651594"
"NGSD01C01","Networked Gas Daily Supply","2018M01D09","2018 January 09","-","All networked gas supply","Gigawatt hours","178.545465"
"NGSD01C01","Networked Gas Daily Supply","2018M01D09","2018 January 09","10","Networked gas supply - indigenous production","Gigawatt hours","117.517858"
"NGSD01C01","Networked Gas Daily Supply","2018M01D09","2018 January 09","20","Networked gas supply - imports","Gigawatt hours","61.027607"
"NGSD01C01","Networked Gas Daily Supply","2018M01D10","2018 January 10","-","All networked gas supply","Gigawatt hours","192.777267"
"NGSD01C01","Networked Gas Daily Supply","2018M01D10","2018 January 10","10","Networked gas supply - indigenous production","Gigawatt hours","117.475803"
"NGSD01C01","Networked Gas Daily Supply","2018M01D10","2018 January 10","20","Networked gas supply - imports","Gigawatt hours","75.301464"
"NGSD01C01","Networked Gas Daily Supply","2018M01D11","2018 January 11","-","All networked gas supply","Gigawatt hours","182.491338"
"NGSD01C01","Networked Gas Daily Supply","2018M01D11","2018 January 11","10","Networked gas supply - indigenous production","Gigawatt hours","117.298136"
"NGSD01C01","Networked Gas Daily Supply","2018M01D11","2018 January 11","20","Networked gas supply - imports","Gigawatt hours","65.193202"
"NGSD01C01","Networked Gas Daily Supply","2018M01D12","2018 January 12","-","All networked gas supply","Gigawatt hours","136.870565"
"NGSD01C01","Networked Gas Daily Supply","2018M01D12","2018 January 12","10","Networked gas supply - indigenous production","Gigawatt hours","117.025016"
"NGSD01C01","Networked Gas Daily Supply","2018M01D12","2018 January 12","20","Networked gas supply - imports","Gigawatt hours","19.845549"
"NGSD01C01","Networked Gas Daily Supply","2018M01D13","2018 January 13","-","All networked gas supply","Gigawatt hours","156.801729"
"NGSD01C01","Networked Gas Daily Supply","2018M01D13","2018 January 13","10","Networked gas supply - indigenous production","Gigawatt hours","116.963218"
"NGSD01C01","Networked Gas Daily Supply","2018M01D13","2018 January 13","20","Networked gas supply - imports","Gigawatt hours","39.838511"
"NGSD01C01","Networked Gas Daily Supply","2018M01D14","2018 January 14","-","All networked gas supply","Gigawatt hours","125.406831"
"NGSD01C01","Networked Gas Daily Supply","2018M01D14","2018 January 14","10","Networked gas supply - indigenous production","Gigawatt hours","116.704802"
"NGSD01C01","Networked Gas Daily Supply","2018M01D14","2018 January 14","20","Networked gas supply - imports","Gigawatt hours","8.702029"
"NGSD01C01","Networked Gas Daily Supply","2018M01D15","2018 January 15","-","All networked gas supply","Gigawatt hours","134.256792"
"NGSD01C01","Networked Gas Daily Supply","2018M01D15","2018 January 15","10","Networked gas supply - indigenous production","Gigawatt hours","116.702494"
"NGSD01C01","Networked Gas Daily Supply","2018M01D15","2018 January 15","20","Networked gas supply - imports","Gigawatt hours","17.554298"
"NGSD01C01","Networked Gas Daily Supply","2018M01D16","2018 January 16","-","All networked gas supply","Gigawatt hours","156.447212"
"NGSD01C01","Networked Gas Daily Supply","2018M01D16","2018 January 16","10","Networked gas supply - indigenous production","Gigawatt hours","82.800125"
"NGSD01C01","Networked Gas Daily Supply","2018M01D16","2018 January 16","20","Networked gas supply - imports","Gigawatt hours","73.647087"
"NGSD01C01","Networked Gas Daily Supply","2018M01D17","2018 January 17","-","All networked gas supply","Gigawatt hours","158.844613"
"NGSD01C01","Networked Gas Daily Supply","2018M01D17","2018 January 17","10","Networked gas supply - indigenous production","Gigawatt hours","117.938242"
"NGSD01C01","Networked Gas Daily Supply","2018M01D17","2018 January 17","20","Networked gas supply - imports","Gigawatt hours","40.906371"
"NGSD01C01","Networked Gas Daily Supply","2018M01D18","2018 January 18","-","All networked gas supply","Gigawatt hours","173.806475"
"NGSD01C01","Networked Gas Daily Supply","2018M01D18","2018 January 18","10","Networked gas supply - indigenous production","Gigawatt hours","117.330589"
"NGSD01C01","Networked Gas Daily Supply","2018M01D18","2018 January 18","20","Networked gas supply - imports","Gigawatt hours","56.475886"
"NGSD01C01","Networked Gas Daily Supply","2018M01D19","2018 January 19","-","All networked gas supply","Gigawatt hours","190.078221"
"NGSD01C01","Networked Gas Daily Supply","2018M01D19","2018 January 19","10","Networked gas supply - indigenous production","Gigawatt hours","116.737361"
"NGSD01C01","Networked Gas Daily Supply","2018M01D19","2018 January 19","20","Networked gas supply - imports","Gigawatt hours","73.34086"
