"STATISTIC","Statistic Label","TLIST(D1)","Day","C04132V04898","Network Gas Customer Type","UNIT","VALUE"
"NGSD02C01","Networked Gas Daily Demand","2018M01D01","2018 January 01","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","55.409405"
"NGSD02C01","Networked Gas Daily Demand","2018M01D01","2018 January 01","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.251362"
"NGSD02C01","Networked Gas Daily Demand","2018M01D01","2018 January 01","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","9.494423"
"NGSD02C01","Networked Gas Daily Demand","2018M01D01","2018 January 01","10","Power Plants","Gigawatt hours","57.062501"
"NGSD02C01","Networked Gas Daily Demand","2018M01D01","2018 January 01","-","All networked gas customers","Gigawatt hours","129.217691"
"NGSD02C01","Networked Gas Daily Demand","2018M01D02","2018 January 02","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","57.607694"
"NGSD02C01","Networked Gas Daily Demand","2018M01D02","2018 January 02","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","9.541429"
"NGSD02C01","Networked Gas Daily Demand","2018M01D02","2018 January 02","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","10.575758"
"NGSD02C01","Networked Gas Daily Demand","2018M01D02","2018 January 02","10","Power Plants","Gigawatt hours","54.855833"
"NGSD02C01","Networked Gas Daily Demand","2018M01D02","2018 January 02","-","All networked gas customers","Gigawatt hours","132.580714"
"NGSD02C01","Networked Gas Daily Demand","2018M01D03","2018 January 03","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","60.505595"
"NGSD02C01","Networked Gas Daily Demand","2018M01D03","2018 January 03","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.48154"
"NGSD02C01","Networked Gas Daily Demand","2018M01D03","2018 January 03","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.308507"
"NGSD02C01","Networked Gas Daily Demand","2018M01D03","2018 January 03","10","Power Plants","Gigawatt hours","69.2175"
"NGSD02C01","Networked Gas Daily Demand","2018M01D03","2018 January 03","-","All networked gas customers","Gigawatt hours","152.513142"
"NGSD02C01","Networked Gas Daily Demand","2018M01D04","2018 January 04","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","59.123724"
"NGSD02C01","Networked Gas Daily Demand","2018M01D04","2018 January 04","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.576218"
"NGSD02C01","Networked Gas Daily Demand","2018M01D04","2018 January 04","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.310019"
"NGSD02C01","Networked Gas Daily Demand","2018M01D04","2018 January 04","10","Power Plants","Gigawatt hours","96.651666"
"NGSD02C01","Networked Gas Daily Demand","2018M01D04","2018 January 04","-","All networked gas customers","Gigawatt hours","179.661627"
"NGSD02C01","Networked Gas Daily Demand","2018M01D05","2018 January 05","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","62.322325"
"NGSD02C01","Networked Gas Daily Demand","2018M01D05","2018 January 05","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.683822"
"NGSD02C01","Networked Gas Daily Demand","2018M01D05","2018 January 05","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.327011"
"NGSD02C01","Networked Gas Daily Demand","2018M01D05","2018 January 05","10","Power Plants","Gigawatt hours","100.158333"
"NGSD02C01","Networked Gas Daily Demand","2018M01D05","2018 January 05","-","All networked gas customers","Gigawatt hours","186.491491"
"NGSD02C01","Networked Gas Daily Demand","2018M01D06","2018 January 06","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","60.782811"
"NGSD02C01","Networked Gas Daily Demand","2018M01D06","2018 January 06","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","8.813694"
"NGSD02C01","Networked Gas Daily Demand","2018M01D06","2018 January 06","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.20145"
"NGSD02C01","Networked Gas Daily Demand","2018M01D06","2018 January 06","10","Power Plants","Gigawatt hours","87.101389"
