date_time,date,imported_supply,local_supply,total_supply,non_metered_demand,small_metered_demand,large_metered_demand,power_plant_demand,total_demand,supply_demand_diff,temperature_c,season,holiday_status
2018-04-01,2018-04-01,39.291462,107.420343,146.711805,50.396686,8.175452,17.881889,70.257778,146.711805,0.0,4.2,Spring,No
2018-04-02,2018-04-02,60.055502,105.556008,165.61151,54.82949,8.847883,16.84886,85.085277,165.61151,0.0,5.5,Spring,Yes
2018-04-03,2018-04-03,60.435102,107.306423,167.741525,44.896469,9.937754,17.283692,95.62361,167.741525,0.0,7.12,Spring,No
2018-04-04,2018-04-04,66.254217,107.309894,173.564111,55.070364,11.071997,17.966194,89.455556,173.564111,0.0,5.31,Spring,No
2018-04-05,2018-04-05,36.725712,107.334087,144.059799,54.660007,10.560184,18.097663,60.741945,144.059799,0.0,5.33,Spring,No
2018-04-06,2018-04-06,42.107207,101.870929,143.978136,49.281702,9.581288,17.685979,67.429167,143.978136,0.0,8.8,Spring,No
2018-04-07,2018-04-07,73.413681,98.882905,172.296586,39.168267,7.437588,17.034343,108.656388,172.296586,0.0,8.88,Spring,No
2018-04-08,2018-04-08,67.309134,98.701659,166.010793,35.438049,6.912114,16.72174,106.93889,166.010793,0.0,8.62,Spring,No
2018-04-09,2018-04-09,113.002601,52.402352,165.404953,40.517665,9.637033,17.691922,97.558333,165.404953,0.0,8.26,Spring,No
2018-04-10,2018-04-10,82.251835,93.08671,175.338545,48.372886,10.165151,17.629952,99.170556,175.338545,0.0,8.11,Spring,No
2018-04-11,2018-04-11,110.987107,73.708823,184.69593,47.407318,10.039227,17.665775,109.58361,184.69593,0.0,8.06,Spring,No
2018-04-12,2018-04-12,100.997928,96.471753,197.469681,47.993066,10.119421,17.287749,122.069445,197.469681,0.0,8.1,Spring,No
2018-04-13,2018-04-13,89.881076,94.457417,184.338493,45.00081,9.517805,17.511266,112.308612,184.338493,0.0,8.62,Spring,No
2018-04-14,2018-04-14,33.23475,98.569403,131.804153,36.384503,7.313709,17.299273,70.806668,131.804153,0.0,10.02,Spring,No
2018-04-15,2018-04-15,27.931839,98.536997,126.468836,37.617482,7.004737,16.702729,65.143888,126.468836,0.0,10.09,Spring,No
2018-04-16,2018-04-16,33.655491,98.487477,132.142968,43.516728,9.60171,17.782308,61.242222,132.142968,0.0,9.56,Spring,No
2018-04-17,2018-04-17,21.279547,98.426674,119.706221,33.76295,9.101095,18.186621,58.655555,119.706221,0.0,11.87,Spring,No
2018-04-18,2018-04-18,20.768067,98.435637,119.203704,29.032008,8.71292,17.647109,63.811667,119.203704,0.0,12.41,Spring,No
2018-04-19,2018-04-19,45.106016,98.428191,143.534207,23.498309,8.550343,16.847777,94.637778,143.534207,0.0,12.02,Spring,No
2018-04-20,2018-04-20,54.878687,98.451718,153.330405,22.927741,8.521163,16.965668,104.915833,153.330405,0.0,10.47,Spring,No
2018-04-21,2018-04-21,40.367718,98.306884,138.674602,19.397082,6.751112,16.970853,95.555555,138.674602,0.0,10.34,Spring,No
2018-04-22,2018-04-22,10.624463,97.554922,108.179385,22.421018,6.391629,16.692293,62.674445,108.179385,0.0,9.89,Spring,No
2018-04-23,2018-04-23,24.90175,98.155869,123.057619,29.558477,8.93548,17.515051,67.048611,123.057619,0.0,9.94,Spring,No
2018-04-24,2018-04-24,56.237446,97.762528,153.999974,34.677613,9.40469,18.77906,91.138611,153.999974,0.0,9.11,Spring,No
2018-04-25,2018-04-25,32.511027,97.777867,130.288894,34.971907,9.513102,19.187775,66.61611,130.288894,0.0,8.37,Spring,No
2018-04-26,2018-04-26,59.779348,97.272899,157.052247,35.438288,9.582783,19.207842,92.823334,157.052247,0.0,7.94,Spring,No
2018-04-27,2018-04-27,76.32448,97.361484,173.685964,38.20321,9.527573,19.511569,106.443612,173.685964,0.0,7.13,Spring,No
2018-04-28,2018-04-28,70.677465,96.654801,167.332266,30.594871,7.813409,19.817598,109.106388,167.332266,0.0,7.01,Spring,No
2018-04-29,2018-04-29,61.970455,97.578448,159.548903,30.024989,7.347753,19.296161,102.88,159.548903,0.0,7.07,Spring,No
2018-04-30,2018-04-30,61.501627,97.264781,158.766408,31.72547,9.638683,19.413922,97.988333,158.766408,0.0,7.26,Spring,No
2018-08-01,2018-08-01,22.660957,95.66176,118.322717,10.904204,6.715202,13.957756,86.745555,118.322717,0.0,15.63,Summer,No
2018-08-02,2018-08-02,59.074865,95.437701,154.512566,8.761017,6.602047,13.843113,125.306389,154.512566,0.0,17.77,Summer,No
2018-08-03,2018-08-03,60.955385,95.627902,156.583287,8.524207,6.363395,14.388739,127.306946,156.583287,0.0,17.51,Summer,No
2018-08-04,2018-08-04,60.324115,95.4633,155.787415,7.692188,5.169299,14.424817,128.501111,155.787415,0.0,16.06,Summer,No
2018-08-05,2018-08-05,50.152078,95.107858,145.259936,7.214967,4.375607,13.941028,119.728334,145.259936,0.0,16.16,Summer,No
2018-08-06,2018-08-06,57.325707,95.293188,152.618895,7.95087,5.131146,15.739379,123.7975,152.618895,0.0,15.96,Summer,Yes
2018-08-07,2018-08-07,55.530913,95.136172,150.667085,9.564253,6.835347,15.180263,119.087222,150.667085,0.0,14.26,Summer,No
2018-08-08,2018-08-08,46.574692,95.047438,141.62213,10.20176,7.133529,16.001286,108.285555,141.62213,0.0,13.71,Summer,No
2018-08-09,2018-08-09,65.012261,93.221252,158.233513,10.785437,7.087573,17.614947,122.745556,158.233513,0.0,12.8,Summer,No
2018-08-10,2018-08-10,59.037501,95.149709,154.18721,11.136684,6.875535,17.199713,118.975278,154.18721,0.0,13.44,Summer,No
2018-08-11,2018-08-11,48.737284,94.7044,143.441684,10.212125,5.316145,16.787581,111.125833,143.441684,0.0,14.84,Summer,No
